R-PEAK INDEX, TIME, AMPLITUDE
140718,1407.18,135
140747,1407.47,51
140803,1408.03,140
140889,1408.89,137
140976,1409.76,107
141062,1410.62,135
141148,1411.48,150
141235,1412.35,95
141319,1413.19,101
141348,1413.48,49
141403,1414.03,126
141488,1414.88,126
141572,1415.72,100
141601,1416.01,49
141654,1416.54,126
141739,1417.39,83
141822,1418.22,132
141852,1418.52,56
141904,1419.04,121
141986,1419.86,78
142069,1420.69,149
142150,1421.5,110
142179,1421.79,56
142230,1422.3,67
142309,1423.09,155
142388,1423.88,123
142418,1424.18,49
142465,1424.65,117
142542,1425.42,154
142620,1426.2,95
142650,1426.5,57
142697,1426.97,124
142727,1427.27,54
142774,1427.74,163
142851,1428.51,169
142928,1429.28,105
143005,1430.05,86
143083,1430.83,82
143161,1431.61,145
143240,1432.4,142
143318,1433.18,132
143475,1434.75,135
143554,1435.54,104
143634,1436.34,123
143714,1437.14,125
143794,1437.94,124
143876,1438.76,138
143958,1439.58,98
144038,1440.38,111
144121,1441.21,114
144205,1442.05,120
144289,1442.89,134
144372,1443.72,115
144456,1444.56,82
144542,1445.42,145
144627,1446.27,103
144712,1447.12,133
144797,1447.97,144
144880,1448.8,134
144966,1449.66,151
145051,1450.51,138
145138,1451.38,104
145222,1452.22,150
145306,1453.06,80
145392,1453.92,141
145477,1454.77,105
145507,1455.07,49
145562,1455.62,114
145649,1456.49,101
145734,1457.34,73
145764,1457.64,50
145818,1458.18,111
145848,1458.48,58
145902,1459.02,147
145987,1459.87,136
146071,1460.71,123
146100,1461.0,59
146154,1461.54,117
146238,1462.38,147
146322,1463.22,150
146351,1463.51,58
146404,1464.04,123
146434,1464.34,61
146486,1464.86,105
146567,1465.67,146
146648,1466.48,134
146678,1466.78,56
146728,1467.28,142
146759,1467.59,52
146806,1468.06,101
146885,1468.85,112
146966,1469.66,130
146996,1469.96,53
147046,1470.46,131
147076,1470.76,63
147126,1471.26,102
147209,1472.09,139
147238,1472.38,55
147291,1472.91,103
147322,1473.22,52
147373,1473.73,110
147455,1474.55,149
147484,1474.84,52
147536,1475.36,81
147619,1476.19,127
147649,1476.49,54
147700,1477.0,119
147729,1477.29,55
147781,1477.81,150
147863,1478.63,132
147944,1479.44,101
148026,1480.26,102
148108,1481.08,147
148191,1481.91,137
148273,1482.73,75
148354,1483.54,120
148436,1484.36,133
148518,1485.18,137
148598,1485.98,124
148679,1486.79,139
148760,1487.6,80
148841,1488.41,110
148921,1489.21,137
149003,1490.03,115
